_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_mt_type,_format
REF00000788762,2026-07-10T23:51:47.047,CRED,OUR,OCBCSGSG,CITIUS33,EUR,427.63,**************1027,YODAC ZS,**************4925,BVW CDYLHA,INVOICE 15162,103,mt
REF00000119803,2026-07-04T21:43:33.742,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,482.96,**************6346,AZALU TP,**************5947,TOE CFWDAQ,INVOICE 25255,103,mt
REF00000119553,2026-07-12T11:40:14.777,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,541.29,**************5926,PHCVR OC,**************9868,TVC QSBIRC,INVOICE 13008,103,mt
REF00000524870,2026-07-06T23:46:30.607,CRED,OUR,UOVBSGSG,CITIUS33,USD,2374.99,**************7500,UJPLI HU,**************5669,GOQ VAQCAK,INVOICE 80619,103,mt
REF00000033849,2026-07-06T03:45:05.665,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,2731.11,**************0723,EWPVM FB,**************0988,CSP FCRGEA,INVOICE 23796,103,mt
REF00000221778,2026-07-03T04:56:57.663,CRED,OUR,DBSSSGSG,HSBCGB2L,MYR,358.64,**************4763,LYDQE VJ,**************7160,OBN IVZBFI,INVOICE 42290,103,mt
REF00000500556,2026-07-05T16:04:38.538,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,2173.71,**************7441,EJEYO BS,**************1182,MYL PKSOPB,INVOICE 11288,103,mt
REF00000781571,2026-07-05T16:17:20.820,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,160.94,**************3454,ZPTFO XY,**************1372,QOJ IDYFNN,INVOICE 22719,103,mt
REF00000153136,2026-07-10T03:28:27.474,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,1957.51,**************7270,YDQDP MV,**************2302,IUG LDWWZF,INVOICE 20067,103,mt
REF00000259151,2026-07-05T17:12:05.547,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,160.84,**************9901,SIEXK ZZ,**************5064,GOQ VAQCAK,INVOICE 86268,103,mt
REF00000207115,2026-07-10T02:14:14.161,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,1299.88,**************3022,OXCCM GB,**************2910,JZB HQCZWK,INVOICE 63917,103,mt
REF00000415537,2026-07-06T08:15:25.640,CRED,OUR,DBSSSGSG,HSBCGB2L,USD,3649.48,**************3978,JOCSI CW,**************8807,NGD MGWOQH,INVOICE 73421,103,mt
REF00000354407,2026-07-10T19:27:05.813,CRED,OUR,UOVBSGSG,HSBCGB2L,MYR,96.33,**************0723,EJEYO BS,**************0602,ZLG QWNFSG,INVOICE 00707,103,mt
REF00000744748,2026-07-02T14:34:06.311,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,5558.61,**************5087,JBLRE PY,**************5968,RPK EEBTFE,INVOICE 33181,103,mt
REF00000237222,2026-07-11T19:53:18.996,CRED,BEN,DBSSSGSG,MAYBMYKL,SGD,231.54,**************1662,RCWKF AV,**************3158,VBU CYZEGB,INVOICE 78847,103,mt
REF00000069219,2026-07-03T18:58:15.204,CRED,SHA,DBSSSGSG,MAYBMYKL,USD,661.58,**************9559,NMXKG VM,**************4727,IRU JNKVSE,INVOICE 03663,103,mt
REF00000519725,2026-07-06T11:41:45.880,CRED,SHA,DBSSSGSG,CITIUS33,USD,895.58,**************1863,RCYII NM,**************2742,SIQ DWMIGJ,INVOICE 17510,103,mt
REF00000391237,2026-07-03T20:46:11.255,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,205.3,**************9837,WSMBL OH,**************5736,YPF MJACPM,INVOICE 45405,103,mt
REF00000247501,2026-07-11T20:13:41.030,CRED,OUR,DBSSSGSG,CITIUS33,USD,1124.34,**************9515,JNVPF MU,**************9494,PFJ SLUTLG,INVOICE 59234,103,mt
REF00000097328,2026-07-02T23:59:30.524,CRED,OUR,DBSSSGSG,MAYBMYKL,USD,1691.52,**************6245,FQSOZ VP,**************1522,VAZ ZXOVZD,INVOICE 64484,103,mt
REF00000123176,2026-07-09T15:56:09.525,CRED,OUR,DBSSSGSG,MAYBMYKL,USD,211.54,**************7420,ALZPC ES,**************8753,KLY YJJVVS,INVOICE 66165,103,mt
REF00000641278,2026-07-13T00:57:45.515,CRED,OUR,UOVBSGSG,CITIUS33,EUR,85.44,**************0079,KSJSG QX,**************6013,ZLG QWNFSG,INVOICE 88071,103,mt
REF00000474351,2026-07-11T09:42:31.281,CRED,SHA,UOVBSGSG,CITIUS33,EUR,1233.9,**************4669,ICRWT GK,**************0619,QKK OICYQS,INVOICE 08203,103,mt
REF00000223675,2026-07-02T09:17:29.765,CRED,BEN,OCBCSGSG,MAYBMYKL,EUR,643.14,**************8438,PHCVR OC,**************5338,SRD HILEAM,INVOICE 83734,103,mt
REF00000235015,2026-07-12T09:03:54.097,CRED,SHA,OCBCSGSG,CITIUS33,MYR,1123.93,**************7550,BVBGV EK,**************5158,QLN QCYJIW,INVOICE 87570,103,mt
REF00000070183,2026-07-07T19:11:03.517,CRED,OUR,UOVBSGSG,CITIUS33,EUR,2179.53,**************4413,PSHLQ CU,**************4976,ZAV SKSHFP,INVOICE 78949,103,mt
REF00000428940,2026-07-11T15:24:01.571,CRED,SHA,UOVBSGSG,MAYBMYKL,USD,556.72,**************7997,PVVER TT,**************7251,CER HWFQYQ,INVOICE 29483,103,mt
REF00000451021,2026-07-07T17:14:08.054,CRED,OUR,UOVBSGSG,CITIUS33,USD,1447.82,**************6554,WYMKE WR,**************6469,VBU CYZEGB,INVOICE 44686,103,mt
REF00000473118,2026-07-13T15:12:44.200,CRED,BEN,OCBCSGSG,HSBCGB2L,SGD,627.46,**************2971,SRTTO BL,**************6173,CLY VNBTTC,INVOICE 43956,103,mt
REF00000015366,2026-07-12T11:02:41.494,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,4731.65,**************7460,KHTZG LQ,**************8538,WYM SPBAOZ,INVOICE 16992,103,mt
REF00000170235,2026-07-09T13:54:34.284,CRED,OUR,DBSSSGSG,HSBCGB2L,EUR,3802.47,**************4970,CJNKE PV,**************6264,YUH WZAXLS,INVOICE 33389,103,mt
REF00000678846,2026-07-05T13:54:59.814,CRED,SHA,OCBCSGSG,MAYBMYKL,SGD,2216.15,**************2196,LNFCU AG,**************6869,YGT TRXEQE,INVOICE 13225,103,mt
REF00000401359,2026-07-11T16:09:18.986,CRED,SHA,OCBCSGSG,CITIUS33,SGD,761.62,**************5780,VIUXB TO,**************2715,LTX LJMNYL,INVOICE 84816,103,mt
REF00000312603,2026-07-11T03:41:32.010,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,2893.6,**************7435,HJAKS ID,**************4297,RTB GRSSLR,INVOICE 16391,103,mt
