_msg_id,_ts,_msg_type,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt@Ccy,CstmrCdtTrfInitn.GrpHdr.MsgId,CstmrCdtTrfInitn.GrpHdr.CreDtTm,CstmrCdtTrfInitn.GrpHdr.NbOfTxs,CstmrCdtTrfInitn.GrpHdr.InitgPty.Nm,CstmrCdtTrfInitn.PmtInf.PmtInfId,CstmrCdtTrfInitn.PmtInf.PmtMtd,CstmrCdtTrfInitn.PmtInf.ReqdExctnDt.Dt,CstmrCdtTrfInitn.PmtInf.Dbtr.Nm,CstmrCdtTrfInitn.PmtInf.DbtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.DbtrAgt.FinInstnId.BICFI,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.PmtId.EndToEndId,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Cdtr.Nm,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.CdtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
PAIN00000762328,2026-07-05T09:31:42.161,pain.001.001.09,SGD,PAIN00000036494,2026-07-05T22:34:46,1,YODACZ SBV,BATCH678698,TRF,2026-07-07,WCDY LHA,**************2510,OCBCSGSG,REF00000504925,400.69,AZALUT PTOE,**************6610,INVOICE 85069,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000054749,2026-07-13T09:22:52.580,pain.001.001.09,USD,PAIN00000319413,2026-07-04T14:09:54,1,CFWDAQ PHC,BATCH128430,TRF,2026-07-07,VROC TVC,**************4352,OCBCSGSG,REF00000539743,2001.47,QSBIRC UJPL,**************4696,INVOICE 53318,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000075002,2026-07-04T12:46:02.466,pain.001.001.09,SGD,PAIN00000081916,2026-07-04T08:19:29,1,IHUGOQ VAQ,BATCH941098,TRF,2026-07-01,CAKE WPV,**************4543,OCBCSGSG,REF00000609605,764.49,MFBCSP FCRG,**************5841,INVOICE 23796,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000221778,2026-07-10T06:06:12.348,pain.001.001.09,EUR,PAIN00000405795,2026-07-05T21:48:22,1,EALYDQ EVJ,BATCH976285,TRF,2026-07-07,OBNI VZB,**************4340,UOVBSGSG,REF00000679379,612.01,FIEJEY OBSM,**************2290,INVOICE 85574,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000571182,2026-07-07T23:04:05.141,pain.001.001.09,SGD,PAIN00000470930,2026-07-02T01:12:49,1,YLPKSO PBZ,BATCH383087,TRF,2026-07-14,PTFO XYQ,**************6514,OCBCSGSG,REF00000781571,668.06,OJIDYF NNYD,**************8829,INVOICE 59381,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000637510,2026-07-03T19:16:47.456,pain.001.001.09,EUR,PAIN00000519044,2026-07-08T09:30:42,1,QDPMVI UGL,BATCH555106,TRF,2026-07-14,DWWZ FSI,**************7270,DBSSSGSG,REF00000527832,556.73,EXKZZO XCCM,**************0360,INVOICE 70385,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000186858,2026-07-11T22:42:11.033,pain.001.001.09,SGD,PAIN00000341176,2026-07-04T08:21:38,1,GBJZBH QCZ,BATCH149763,TRF,2026-07-04,WKJO CSI,**************8967,OCBCSGSG,REF00000775501,197.36,CWNGDM GWOQ,**************3388,INVOICE 71856,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000523397,2026-07-02T20:50:56.746,pain.001.001.09,USD,PAIN00000375580,2026-07-01T20:02:18,1,HZLGQW NFS,BATCH744376,TRF,2026-07-01,GJBL REP,**************0248,DBSSSGSG,REF00000573421,1293.22,YRPKEE BTFE,**************0755,INVOICE 26858,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000281657,2026-07-14T18:50:13.622,pain.001.001.09,SGD,PAIN00000744880,2026-07-01T20:39:28,1,RCWKFA VVB,BATCH602602,TRF,2026-07-12,UCYZ EGB,**************9405,OCBCSGSG,REF00000508773,1818.69,NMXKGV MIRU,**************4617,INVOICE 61662,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000731587,2026-07-01T04:02:07.786,pain.001.001.09,SGD,PAIN00000346472,2026-07-14T08:35:46,1,JNKVSE RCY,BATCH689403,TRF,2026-07-04,IINM SIQ,**************7639,DBSSSGSG,REF00000069219,719.72,DWMIGJ WSMB,**************5595,INVOICE 16685,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000021356,2026-07-04T07:22:00.598,pain.001.001.09,USD,PAIN00000339459,2026-07-07T21:07:32,1,LOHYPF MJA,BATCH643732,TRF,2026-07-13,CPMJ NVP,**************8312,OCBCSGSG,REF00000426386,1562.55,FMUPFJ SLUT,**************5361,INVOICE 57360,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000729237,2026-07-01T22:11:25.527,pain.001.001.09,SGD,PAIN00000439615,2026-07-09T09:54:59,1,LGFQSO ZVP,BATCH689510,TRF,2026-07-10,VAZZ XOV,**************8770,DBSSSGSG,REF00000216529,1826.29,ZDALZP CESK,**************9485,INVOICE 88564,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000524983,2026-07-14T16:42:50.502,pain.001.001.09,USD,PAIN00000420146,2026-07-02T04:34:23,1,LYYJJV VSK,BATCH608753,TRF,2026-07-01,SJSG QXI,**************2074,OCBCSGSG,REF00000200260,1247.54,CRWTGK QKKO,**************1859,INVOICE 66165,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000496389,2026-07-05T10:58:35.798,pain.001.001.09,USD,PAIN00000165866,2026-07-13T05:08:15,1,ICYQSS RDH,BATCH743514,TRF,2026-07-11,ILEA MBV,**************8235,DBSSSGSG,REF00000007900,1337.49,BGVEKQ LNQC,**************3126,INVOICE 96362,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000648323,2026-07-12T02:20:11.360,pain.001.001.09,EUR,PAIN00000432491,2026-07-12T23:56:35,1,YJIWPS HLQ,BATCH817640,TRF,2026-07-11,CUZA VSK,**************7608,DBSSSGSG,REF00000482662,398.13,SHFPPV VERT,**************1363,INVOICE 11665,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000159816,2026-07-08T06:23:28.379,pain.001.001.09,SGD,PAIN00000701835,2026-07-12T14:02:50,1,TCERHW FQY,BATCH396257,TRF,2026-07-05,QWYM KEW,**************3767,UOVBSGSG,REF00000423812,832.03,RSRTTO BLCL,**************6811,INVOICE 85763,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000631509,2026-07-11T14:30:16.250,pain.001.001.09,SGD,PAIN00000083529,2026-07-01T04:45:13,1,YVNBTT CKH,BATCH607609,TRF,2026-07-12,TZGL QWY,**************7762,OCBCSGSG,REF00000453810,499.91,MSPBAO ZCJN,**************5815,INVOICE 16066,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000365549,2026-07-08T12:56:53.668,pain.001.001.09,MYR,PAIN00000329713,2026-07-13T11:06:21,1,KEPVYU HWZ,BATCH965645,TRF,2026-07-07,AXLS LNF,**************4696,OCBCSGSG,REF00000258145,296.88,CUAGYG TTRX,**************9609,INVOICE 48139,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000352812,2026-07-09T19:32:18.418,pain.001.001.09,USD,PAIN00000138621,2026-07-02T16:16:54,1,EQEVIU XBT,BATCH741159,TRF,2026-07-13,OLTX LJM,**************2721,OCBCSGSG,REF00000039451,2092.7,NYLHJA KSID,**************8731,INVOICE 10497,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000264193,2026-07-02T03:40:39.061,pain.001.001.09,USD,PAIN00000696602,2026-07-06T02:04:01,1,RTBGRS SLR,BATCH251955,TRF,2026-07-13,FKJL IWW,**************7422,UOVBSGSG,REF00000468641,2144.76,UFOFAR WNHG,**************6737,INVOICE 36040,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000268111,2026-07-13T17:37:12.379,pain.001.001.09,USD,PAIN00000755845,2026-07-06T01:14:18,1,OIXFLX SNQ,BATCH397435,TRF,2026-07-13,PYTS PPQ,**************6252,UOVBSGSG,REF00000253127,4983.14,OXXZXL TDWV,**************2355,INVOICE 50940,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000163914,2026-07-06T04:55:09.372,pain.001.001.09,SGD,PAIN00000504687,2026-07-11T11:58:42,1,QMSEDZ PPD,BATCH747718,TRF,2026-07-08,RREZ YIH,**************1829,OCBCSGSG,REF00000068844,432.67,FMUPFJ SLUT,**************8485,INVOICE 23738,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000129325,2026-07-10T04:14:47.038,pain.001.001.09,SGD,PAIN00000010457,2026-07-05T17:07:18,1,WCKMJW QLM,BATCH974963,TRF,2026-07-01,RREZ YIH,**************9461,DBSSSGSG,REF00000743859,393.05,RGTPVV OKOQ,**************1106,INVOICE 21474,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000413607,2026-07-07T22:12:41.421,pain.001.001.09,USD,PAIN00000616633,2026-07-04T01:31:11,1,DRZOCC GFT,BATCH551387,TRF,2026-07-08,KFMI WGI,**************9543,DBSSSGSG,REF00000045556,2032.34,AFVKTD BBZV,**************3820,INVOICE 26486,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000797889,2026-07-07T13:57:28.187,pain.001.001.09,SGD,PAIN00000566067,2026-07-08T02:27:43,1,INKKJS NWS,BATCH214273,TRF,2026-07-09,VFMM AJT,**************5324,DBSSSGSG,REF00000043909,57.43,FMUPFJ SLUT,**************8611,INVOICE 83680,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000181389,2026-07-04T14:00:07.709,pain.001.001.09,SGD,PAIN00000378309,2026-07-06T22:08:27,1,TJWKTH EGT,BATCH043485,TRF,2026-07-07,OTON QKQ,**************3959,UOVBSGSG,REF00000122225,1136.88,IZNMIV SPKH,**************4772,INVOICE 25041,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000062045,2026-07-02T21:26:34.305,pain.001.001.09,EUR,PAIN00000183951,2026-07-08T13:21:42,1,JFFNFB HSR,BATCH781784,TRF,2026-07-11,LURG NOA,**************5520,OCBCSGSG,REF00000432424,919.66,RMYCWW CCHU,**************8974,INVOICE 42503,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000438102,2026-07-12T21:52:42.769,pain.001.001.09,USD,PAIN00000741592,2026-07-10T06:26:22,1,MWPMYZ HWJ,BATCH760013,TRF,2026-07-09,QKQQ OZV,**************8301,DBSSSGSG,REF00000460090,830.77,VCJZYA ZQFE,**************8024,INVOICE 34920,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000143684,2026-07-14T16:42:30.010,pain.001.001.09,USD,PAIN00000465173,2026-07-02T07:05:49,1,EMNFQE JDP,BATCH360574,TRF,2026-07-01,RZKT EIY,**************1818,DBSSSGSG,REF00000265216,937.9,NXPIKF CZOH,**************6258,INVOICE 50422,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000713477,2026-07-08T03:26:28.401,pain.001.001.09,SGD,PAIN00000278750,2026-07-08T14:19:02,1,OHYCIE URI,BATCH099438,TRF,2026-07-02,EMGG RQE,**************8867,OCBCSGSG,REF00000705882,840.93,FMUPFJ SLUT,**************3694,INVOICE 63290,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000319820,2026-07-11T21:16:36.871,pain.001.001.09,USD,PAIN00000026198,2026-07-10T05:32:50,1,JNKVSE RCY,BATCH310020,TRF,2026-07-12,GKXV TNV,**************6705,OCBCSGSG,REF00000344365,264.1,AQLGUH RAAL,**************1922,INVOICE 78580,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
