_msg_id,_ts,_msg_type,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FIToFICstmrCdtTrf.GrpHdr.MsgId,FIToFICstmrCdtTrf.GrpHdr.CreDtTm,FIToFICstmrCdtTrf.GrpHdr.NbOfTxs,FIToFICstmrCdtTrf.GrpHdr.SttlmInf.SttlmMtd,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.UETR,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FIToFICstmrCdtTrf.CdtTrfTxInf.ChrgBr,FIToFICstmrCdtTrf.CdtTrfTxInf.Dbtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.Cdtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
MSG00000788762,2026-07-05T09:36:51.994,pacs.008.001.08,SGD,MSG00000466109,2026-07-14T10:25:14,1,CLRG,REF00000479666,e302123b-000b-e425-0f72-221829fb876e,200.62,SLEV,QVAQC AKEW,**************9589,OCBCSGSG,PVMFBC SPFC,**************3944,MAYBMYKL,INVOICE 36494,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000526119,2026-07-01T02:15:49.487,pacs.008.001.08,USD,MSG00000007128,2026-07-03T12:01:21,1,CLRG,REF00000431083,640b349e-d815-494e-cbfa-f1f5ee9835dd,658.65,SLEV,YDQDP MVIU,**************5646,DBSSSGSG,GLDWWZ FSIE,**************8485,HSBCGB2L,INVOICE 31812,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000756670,2026-07-02T23:03:11.111,pacs.008.001.08,USD,MSG00000796459,2026-07-06T14:56:51,1,CLRG,REF00000584171,ae22c619-72a9-282d-3c6e-b6d5691b4ffa,8817.91,SLEV,EEBTF ERCW,**************9162,OCBCSGSG,KFAVVB UCYZ,**************8831,HSBCGB2L,INVOICE 17787,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000440579,2026-07-04T23:46:51.507,pacs.008.001.08,MYR,MSG00000128896,2026-07-11T16:01:25,1,CLRG,REF00000139762,461dca6c-9da4-88dc-3c86-c1be7f5c902f,278.52,SLEV,MJNVP FMUP,**************7441,DBSSSGSG,FJSLUT LGFQ,**************1182,MAYBMYKL,INVOICE 71249,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000555219,2026-07-02T15:25:46.772,pacs.008.001.08,SGD,MSG00000277200,2026-07-05T13:34:49,1,CLRG,REF00000751061,ef0e30bf-4ab9-a968-6aaa-82378b40c116,348.71,SHAR,VEKQL NQCY,**************7672,OCBCSGSG,JIWPSH LQCU,**************5278,CITIUS33,INVOICE 73259,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000377542,2026-07-01T21:36:37.974,pacs.008.001.08,EUR,MSG00000176391,2026-07-03T11:10:17,1,CLRG,REF00000153909,0a75ff42-75ca-e1b2-d12a-6bcf10e29da4,303.32,SLEV,PVYUH WZAX,**************7133,DBSSSGSG,LSLNFC UAGY,**************9583,CITIUS33,INVOICE 74155,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000217467,2026-07-03T13:38:38.225,pacs.008.001.08,SGD,MSG00000006029,2026-07-09T17:43:13,1,CLRG,REF00000778835,64481ebb-cdb7-0a83-6b5a-b85e50d76e85,839.86,SHAR,LXSNQ PYTS,**************2802,UOVBSGSG,PPQOXX ZXLT,**************5098,MAYBMYKL,INVOICE 07789,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000026461,2026-07-05T16:55:10.138,pacs.008.001.08,MYR,MSG00000315871,2026-07-13T00:40:24,1,CLRG,REF00000477448,3c43ff34-72ac-bc6f-ae3e-265a5c86805a,376.43,SLEV,TDBBZ VINK,**************0224,UOVBSGSG,KJSNWS VFMM,**************1212,HSBCGB2L,INVOICE 39424,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000663158,2026-07-01T13:42:12.919,pacs.008.001.08,MYR,MSG00000274263,2026-07-01T19:17:24,1,CLRG,REF00000567519,099a746e-da8d-8fa7-55d5-7b6de0c2227c,513.76,SLEV,WPMYZ HWJQ,**************4300,UOVBSGSG,KQQOZV VCJZ,**************4483,MAYBMYKL,INVOICE 76156,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000454051,2026-07-12T01:26:19.722,pacs.008.001.08,SGD,MSG00000494856,2026-07-04T09:13:43,1,CLRG,REF00000593286,0544cd54-3fa4-df8a-2e7e-28484c6646ad,3556.2,SHAR,VAQLG UHRA,**************8673,DBSSSGSG,ALOHVY ANNP,**************5824,CITIUS33,INVOICE 96158,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
