_msg_id,_ts,_msg_type,BkToCstmrAcctRpt.GrpHdr.MsgId,BkToCstmrAcctRpt.GrpHdr.CreDtTm,BkToCstmrAcctRpt.Rpt.Id,BkToCstmrAcctRpt.Rpt.Acct.Id.Othr.Id,BkToCstmrAcctRpt.Rpt.Bal#1.Tp.CdOrPrtry.Cd,BkToCstmrAcctRpt.Rpt.Bal#1.Amt,BkToCstmrAcctRpt.Rpt.Bal#1.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Bal#1.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Bal#2.Tp.CdOrPrtry.Cd,BkToCstmrAcctRpt.Rpt.Bal#2.Amt,BkToCstmrAcctRpt.Rpt.Bal#2.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Bal#2.CdtDbtInd,_ns,_format,BkToCstmrAcctRpt.Rpt.Ntry#1.Amt,BkToCstmrAcctRpt.Rpt.Ntry#1.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#1.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#1.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#1.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#1.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#1.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#2.Amt,BkToCstmrAcctRpt.Rpt.Ntry#2.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#2.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#2.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#2.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#2.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#2.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#3.Amt,BkToCstmrAcctRpt.Rpt.Ntry#3.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#3.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#3.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#3.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#3.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#3.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#4.Amt,BkToCstmrAcctRpt.Rpt.Ntry#4.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#4.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#4.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#4.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#4.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#4.AddtlNtryInf
STMT00000362,2026-07-05T08:58:31.651,camt.052.001.08,********0216,***************9:50,*******0150,**************2510,ITBD,16727.34,USD,CRDT,ITBD,31999.45,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,354.73,SGD,CRDT,BOOK,2026-07-06,********6981,RENT,968.38,USD,DBIT,BOOK,2026-07-06,********5252,SUPPLIER,219.43,SGD,DBIT,BOOK,2026-07-11,********9803,FEES,,,,,,,
STMT00000161,2026-07-14T14:38:29.503,camt.052.001.08,********0094,***************9:25,*******0264,**************3592,ITBD,10815.64,SGD,CRDT,ITBD,35613.14,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,398.6,SGD,CRDT,BOOK,2026-07-05,********9152,RENT,612.3,USD,DBIT,BOOK,2026-07-14,********1017,FEES,,,,,,,,,,,,,,
STMT00000156,2026-07-05T07:09:10.276,camt.052.001.08,********0081,***************2:47,*******0258,**************5667,ITBD,121938.88,MYR,CRDT,ITBD,6367.01,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1678.47,SGD,DBIT,BOOK,2026-07-01,********5965,RENT,110.39,USD,CRDT,BOOK,2026-07-09,********9943,RENT,384.68,SGD,DBIT,BOOK,2026-07-10,********3181,FEES,,,,,,,
STMT00000398,2026-07-11T21:06:42.289,camt.052.001.08,********0216,***************3:29,*******0205,**************9042,ITBD,28918.7,SGD,CRDT,ITBD,10115.45,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,66.47,SGD,DBIT,BOOK,2026-07-02,********8504,SUPPLIER,1558.41,SGD,CRDT,BOOK,2026-07-09,********9119,INVOICE,,,,,,,,121.05,SGD,DBIT,BOOK,2026-07-09,ASR711825968,FEES
STMT00000254,2026-07-12T06:38:49.810,camt.052.001.08,********0015,***************2:58,*******0127,**************1372,ITBD,21785.03,USD,CRDT,ITBD,13780.68,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,212.57,SGD,CRDT,BOOK,2026-07-09,********7672,FEES,539.66,SGD,CRDT,BOOK,2026-07-13,********5190,SALARY,,,,,,,,220.41,SGD,CRDT,BOOK,2026-07-01,ASR034527832,FEES
STMT00000006,2026-07-11T04:02:38.064,camt.052.001.08,********0053,***************5:25,*******0225,**************4961,ITBD,27715.38,EUR,CRDT,ITBD,47099.32,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1023.91,SGD,DBIT,BOOK,2026-07-10,********8868,INVOICE,512.43,SGD,CRDT,BOOK,2026-07-10,********8074,INVOICE,1034.23,USD,DBIT,BOOK,2026-07-11,********9417,FEES,,,,,,,
STMT00000167,2026-07-05T02:38:18.634,camt.052.001.08,********0164,***************6:08,*******0057,**************2102,ITBD,30766.86,USD,CRDT,ITBD,19393.05,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,415.64,USD,DBIT,BOOK,2026-07-10,********0037,SUPPLIER,241.75,SGD,DBIT,BOOK,2026-07-09,********6582,SALARY,,,,,,,,243.29,SGD,DBIT,BOOK,2026-07-01,ASR465098174,SALARY
STMT00000195,2026-07-08T13:13:12.919,camt.052.001.08,********0064,***************7:23,*******0043,**************5087,ITBD,24863.15,USD,CRDT,ITBD,47081.98,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,149.78,USD,CRDT,BOOK,2026-07-10,********1242,FEES,138.89,SGD,DBIT,BOOK,2026-07-14,********8417,SALARY,487.31,MYR,CRDT,BOOK,2026-07-03,********4322,INVOICE,4958.94,SGD,DBIT,BOOK,2026-07-04,ASR315871570,RENT
STMT00000242,2026-07-04T06:02:35.067,camt.052.001.08,********0230,***************7:13,*******0108,**************0166,ITBD,16450.89,SGD,CRDT,ITBD,32305.7,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,106.11,SGD,DBIT,BOOK,2026-07-01,********2742,INVOICE,241.02,SGD,DBIT,BOOK,2026-07-02,********3912,SUPPLIER,157.26,EUR,DBIT,BOOK,2026-07-05,********8637,RENT,,,,,,,
STMT00000298,2026-07-08T13:29:07.281,camt.052.001.08,********0159,***************0:10,*******0332,**************6352,ITBD,6432.42,SGD,CRDT,ITBD,114222.25,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,426.99,USD,DBIT,BOOK,2026-07-11,********6972,RENT,254.02,USD,CRDT,BOOK,2026-07-06,********2572,SALARY,,,,,,,,2761.18,EUR,CRDT,BOOK,2026-07-11,ASR782757095,FEES
