_msg_id,_ts,_msg_type,BkToCstmrStmt.GrpHdr.MsgId,BkToCstmrStmt.GrpHdr.CreDtTm,BkToCstmrStmt.Stmt.Id,BkToCstmrStmt.Stmt.Acct.Id.Othr.Id,BkToCstmrStmt.Stmt.Bal#1.Tp.CdOrPrtry.Cd,BkToCstmrStmt.Stmt.Bal#1.Amt,BkToCstmrStmt.Stmt.Bal#1.Amt@Ccy,BkToCstmrStmt.Stmt.Bal#1.CdtDbtInd,BkToCstmrStmt.Stmt.Bal#2.Tp.CdOrPrtry.Cd,BkToCstmrStmt.Stmt.Bal#2.Amt,BkToCstmrStmt.Stmt.Bal#2.Amt@Ccy,BkToCstmrStmt.Stmt.Bal#2.CdtDbtInd,_ns,_format,BkToCstmrStmt.Stmt.Ntry#1.Amt,BkToCstmrStmt.Stmt.Ntry#1.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#1.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#1.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#1.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#1.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#1.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#2.Amt,BkToCstmrStmt.Stmt.Ntry#2.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#2.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#2.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#2.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#2.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#2.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#3.Amt,BkToCstmrStmt.Stmt.Ntry#3.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#3.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#3.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#3.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#3.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#3.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#4.Amt,BkToCstmrStmt.Stmt.Ntry#4.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#4.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#4.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#4.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#4.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#4.AddtlNtryInf
BYEB10170188,2026-07-08T04:55:43.698,camt.053.001.08,STMT00000129,2026-07-01T01:05:51,STMT00000312,**************1749,OPBD,11952.15,SGD,CRDT,CLBD,8117.67,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,416.19,MYR,CRDT,BOOK,2026-07-01,********2132,INVOICE,779.12,SGD,DBIT,BOOK,2026-07-13,********9819,SUPPLIER,105.38,EUR,DBIT,BOOK,2026-07-07,********6703,FEES,,,,,,,
FGAF96820219,2026-07-08T04:54:41.390,camt.053.001.08,STMT00000138,2026-07-02T11:35:29,STMT00000306,**************5256,OPBD,52887.96,SGD,CRDT,CLBD,45175.3,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,1267.74,SGD,DBIT,BOOK,2026-07-06,********2207,FEES,390.93,USD,CRDT,BOOK,2026-07-02,********7506,SALARY,84.94,SGD,DBIT,BOOK,2026-07-06,********8405,INVOICE,,,,,,,
JRRB23722227,2026-07-13T08:13:26.145,camt.053.001.08,STMT00000087,2026-07-10T13:15:58,STMT00000082,**************5841,OPBD,19218.56,EUR,CRDT,CLBD,2897.9,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,578.17,EUR,DBIT,BOOK,2026-07-08,********5955,RENT,1019.2,SGD,DBIT,BOOK,2026-07-01,********4242,RENT,150.16,SGD,CRDT,BOOK,2026-07-01,********2731,INVOICE,,,,,,,
PLNE45249833,2026-07-07T16:53:17.263,camt.053.001.08,STMT00000071,2026-07-10T08:04:27,STMT00000052,**************0146,OPBD,23948.55,SGD,CRDT,CLBD,76338.55,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,180.26,MYR,CRDT,BOOK,2026-07-06,********6165,SALARY,75.56,USD,CRDT,BOOK,2026-07-01,********5924,SUPPLIER,175.98,SGD,DBIT,BOOK,2026-07-04,********2002,FEES,218.83,SGD,DBIT,BOOK,2026-07-11,ASR036087537,FEES
BMFD87570768,2026-07-06T06:23:33.498,camt.053.001.08,STMT00000259,2026-07-10T08:56:17,STMT00000070,**************7887,OPBD,66319.11,USD,CRDT,CLBD,12114.77,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,80.73,SGD,DBIT,BOOK,2026-07-04,********4538,INVOICE,80.87,SGD,DBIT,BOOK,2026-07-08,********4976,INVOICE,446.06,SGD,DBIT,BOOK,2026-07-11,********7886,RENT,2465.04,USD,DBIT,BOOK,2026-07-10,ASR776234289,SUPPLIER
DAJV97066045,2026-07-06T07:05:23.402,camt.053.001.08,STMT00000203,2026-07-01T03:04:17,STMT00000178,**************4137,OPBD,135906.36,SGD,CRDT,CLBD,95014.85,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,454.4,USD,DBIT,BOOK,2026-07-13,********4094,FEES,406.07,SGD,CRDT,BOOK,2026-07-03,********6967,SUPPLIER,,,,,,,,,,,,,,
OWUS08681293,2026-07-12T13:58:32.723,camt.053.001.08,STMT00000072,2026-07-03T14:52:10,STMT00000097,**************7879,OPBD,66397.18,SGD,CRDT,CLBD,18726.03,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,1838.74,SGD,DBIT,BOOK,2026-07-13,********3956,SALARY,121.97,USD,CRDT,BOOK,2026-07-01,********7110,SUPPLIER,607.77,USD,DBIT,BOOK,2026-07-06,********7743,RENT,,,,,,,
GXTL97589468,2026-07-12T06:27:31.401,camt.053.001.08,STMT00000194,2026-07-12T12:18:11,STMT00000154,**************0414,OPBD,39383.33,SGD,CRDT,CLBD,7781.27,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,337.1,EUR,DBIT,BOOK,2026-07-04,********2758,RENT,3274.11,EUR,CRDT,BOOK,2026-07-14,********4304,RENT,774.36,SGD,CRDT,BOOK,2026-07-12,********7725,SUPPLIER,1337.67,MYR,DBIT,BOOK,2026-07-01,ASR295330449,SALARY
DUME58175740,2026-07-07T17:07:38.492,camt.053.001.08,STMT00000072,2026-07-08T06:18:57,STMT00000065,**************8867,OPBD,16050.47,SGD,CRDT,CLBD,3240.8,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,132.63,USD,CRDT,BOOK,2026-07-03,********5882,FEES,899.77,USD,DBIT,BOOK,2026-07-13,********3477,INVOICE,245.16,SGD,DBIT,BOOK,2026-07-08,********5250,INVOICE,,,,,,,
UIHZ04895824,2026-07-11T17:23:17.441,camt.053.001.08,STMT00000039,2026-07-05T13:54:39,STMT00000369,**************5204,OPBD,15991.14,SGD,CRDT,CLBD,24099.29,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,474.42,SGD,DBIT,BOOK,2026-07-07,********4407,RENT,851.15,USD,DBIT,BOOK,2026-07-01,********4512,SUPPLIER,193.64,USD,CRDT,BOOK,2026-07-11,********6908,SALARY,134.18,SGD,DBIT,BOOK,2026-07-06,ASR553391556,INVOICE
