_msg_id,_ts,_msg_type,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.CdtDbtInd,BkToCstmrDbtCdtNtfctn.GrpHdr.MsgId,BkToCstmrDbtCdtNtfctn.GrpHdr.CreDtTm,BkToCstmrDbtCdtNtfctn.Ntfctn.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Acct.Id.Othr.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt@Ccy,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Sts.Cd,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.BookgDt.Dt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.NtryDtls.TxDtls.Refs.EndToEndId,_ns,_format
BYEB10170188,2026-07-11T20:13:05.132,camt.054.001.08,CRDT,NTFN00000703,2026-07-14T02:54:10,NTF00000558,**************0723,368.96,USD,BOOK,2026-07-11,REF00000619205,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
CTYB15313637,2026-07-02T08:31:04.317,camt.054.001.08,DBIT,NTFN00000527,2026-07-13T13:41:51,NTF00000219,**************7033,189.92,SGD,BOOK,2026-07-06,REF00000767270,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
ZDOJ43764500,2026-07-13T12:51:58.598,camt.054.001.08,CRDT,NTFN00000577,2026-07-12T00:00:16,NTF00000673,**************5087,2109.11,EUR,BOOK,2026-07-13,REF00000070778,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
HKGU61080883,2026-07-07T18:40:15.988,camt.054.001.08,CRDT,NTFN00000171,2026-07-02T00:58:54,NTF00000603,**************2923,250.18,SGD,BOOK,2026-07-01,REF00000298598,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
PZHX60007900,2026-07-02T09:47:03.996,camt.054.001.08,CRDT,NTFN00000165,2026-07-11T03:56:03,NTF00000474,**************3625,1267.01,SGD,BOOK,2026-07-08,REF00000013312,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
OBUU78949788,2026-07-01T04:45:29.518,camt.054.001.08,DBIT,NTFN00000790,2026-07-05T06:27:34,NTF00000313,**************7880,7872.46,MYR,BOOK,2026-07-03,REF00000402337,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
BALK01241049,2026-07-10T21:46:43.868,camt.054.001.08,DBIT,NTFN00000389,2026-07-10T02:59:23,NTF00000756,**************6964,2020.75,USD,BOOK,2026-07-14,REF00000486264,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
FKYC50468755,2026-07-12T14:54:28.061,camt.054.001.08,CRDT,NTFN00000496,2026-07-12T00:00:16,NTF00000325,**************1594,132.29,SGD,BOOK,2026-07-09,REF00000056435,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
XKGP17481302,2026-07-02T16:11:00.799,camt.054.001.08,DBIT,NTFN00000321,2026-07-02T15:11:12,NTF00000280,**************7835,1785.29,USD,BOOK,2026-07-02,REF00000757485,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
JEMJ98329830,2026-07-03T09:04:12.911,camt.054.001.08,CRDT,NTFN00000261,2026-07-13T10:15:31,NTF00000595,**************9263,310.95,USD,BOOK,2026-07-05,REF00000090035,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
