_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_format
REF00000170669,2026-07-07T18:31:58.030,CRED,OUR,OCBCSGSG,MAYBMYKL,EUR,2750.79,**************0837,YOD ACZS,**************6834,BVWC DYL,INVOICE 58517,mt103
REF00000388368,2026-07-03T01:48:11.389,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,433.19,**************0759,HAA ZALU,**************3289,TPTO ECF,INVOICE 43419,mt103
REF00000656341,2026-07-06T01:41:55.997,CRED,SHA,DBSSSGSG,MAYBMYKL,USD,450.54,**************8738,WDA QPHC,**************9420,VROC TVC,INVOICE 13969,mt103
REF00000634168,2026-07-11T17:44:57.970,CRED,OUR,DBSSSGSG,CITIUS33,SGD,2885.57,**************4555,HAA ZALU,**************9961,QSBI RCU,INVOICE 10409,mt103
REF00000668484,2026-07-06T05:21:12.168,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,557.13,**************9714,JPL IHUG,**************9536,OQVA QCA,INVOICE 89991,mt103
REF00000185182,2026-07-03T07:24:15.733,CRED,OUR,UOVBSGSG,CITIUS33,SGD,2106.61,**************8324,KEW PVMF,**************2470,BCSP FCR,INVOICE 46962,mt103
REF00000589430,2026-07-12T19:42:01.308,CRED,OUR,UOVBSGSG,CITIUS33,SGD,334.27,**************9896,GEA LYDQ,**************4129,EVJO BNI,INVOICE 72973,mt103
REF00000242834,2026-07-07T21:39:29.981,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,3519.31,**************1908,VZB FIEJ,**************7548,EYOB SMY,INVOICE 79864,mt103
REF00000626421,2026-07-03T21:21:48.208,CRED,OUR,OCBCSGSG,CITIUS33,SGD,588.33,**************8196,LPK SOPB,**************3541,ZPTF OXY,INVOICE 68627,mt103
REF00000792947,2026-07-12T03:34:02.645,CRED,SHA,UOVBSGSG,HSBCGB2L,SGD,253.55,**************5712,QOJ IDYF,**************3776,NNYD QDP,INVOICE 57913,mt103
REF00000280964,2026-07-07T02:22:48.179,CRED,SHA,OCBCSGSG,MAYBMYKL,USD,2377.03,**************7243,MVI UGLD,**************5868,WWZF SIE,INVOICE 03600,mt103
REF00000145140,2026-07-12T20:49:12.136,CRED,OUR,DBSSSGSG,CITIUS33,SGD,1147.23,**************5869,XKZ ZOXC,**************1048,CMGB JZB,INVOICE 55591,mt103
REF00000564795,2026-07-01T12:31:01.755,CRED,SHA,DBSSSGSG,CITIUS33,USD,1443.39,**************3419,HQC ZWKJ,**************3675,OCSI CWN,INVOICE 87169,mt103
REF00000742879,2026-07-01T08:09:16.010,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,472.94,**************0647,GDM GWOQ,**************2946,HZLG QWN,INVOICE 66112,mt103
REF00000650186,2026-07-12T17:53:26.452,CRED,OUR,UOVBSGSG,CITIUS33,MYR,453.11,**************7619,FSG JBLR,**************7105,EPYR PKE,INVOICE 36224,mt103
REF00000375973,2026-07-02T08:12:05.133,CRED,OUR,OCBCSGSG,CITIUS33,USD,811.93,**************5122,EBT FERC,**************9313,ZPTF OXY,INVOICE 14290,mt103
REF00000540851,2026-07-06T17:11:30.809,CRED,OUR,DBSSSGSG,CITIUS33,USD,383.24,**************8209,WKF AVVB,**************5185,UCYZ EGB,INVOICE 75542,mt103
