_msg_id,_ts,_mt_type,119,21,_sender_bic,_receiver_bic,32A_ccy,32A_amount,52A,57A,58A,_format,50K_acct,50K_name,59_acct,59_name
REF00000788762,2026-07-02T23:02:19.668,202,COV,REL41177151,OCBCSGSG,CITIUS33,EUR,49789,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt,**************1027,YODACZ SBV,**************4925,WCDYL HAA
REF00000401198,2026-07-05T19:10:33.745,202,COV,REL74995252,OCBCSGSG,CITIUS33,SGD,77594,OCBCSGSG,DBSSSGSG,CITIUS33,mt,**************4848,ZALUTP TOE,**************7090,CFWDA QPH
REF00000611955,2026-07-04T04:17:40.523,202,COV,REL84853194,UOVBSGSG,CITIUS33,USD,147426,OCBCSGSG,HSBCGB2L,MAYBMYKL,mt,**************9264,CVROCT VCQ,**************9868,SBIRC UJP
REF00000308860,2026-07-08T05:19:26.739,202,COV,REL69454356,UOVBSGSG,HSBCGB2L,SGD,147730,OCBCSGSG,CITIUS33,MAYBMYKL,mt,**************3498,LIHUGO QVA,**************7525,QCAKE WPV
REF00000756670,2026-07-09T09:32:36.738,202,COV,REL80859213,OCBCSGSG,MAYBMYKL,USD,923228,UOVBSGSG,CITIUS33,HSBCGB2L,mt,**************0723,MFBCSP FCR,**************0988,GEALY DQE
REF00000362699,2026-07-02T18:53:37.259,202,COV,REL73313433,UOVBSGSG,HSBCGB2L,SGD,59351,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt,**************4340,VJOBNI VZB,**************9807,FIEJE YOB
REF00000440579,2026-07-10T04:06:20.677,202,COV,REL96842774,UOVBSGSG,MAYBMYKL,SGD,67704,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt,**************8557,SMYLPK SOP,**************2571,BZPTF OXY
REF00000078438,2026-07-11T13:34:10.222,202,COV,REL37287338,DBSSSGSG,HSBCGB2L,SGD,160088,OCBCSGSG,UOVBSGSG,CITIUS33,mt,**************9263,QOJIDY FNN,**************8470,YDQDP MVI
REF00000178055,2026-07-01T06:56:05.422,202,COV,REL03452783,OCBCSGSG,HSBCGB2L,USD,330864,OCBCSGSG,HSBCGB2L,CITIUS33,mt,**************2677,UGLDWW ZFS,**************5578,IEXKZ ZOX
REF00000675600,2026-07-03T09:26:33.004,202,COV,REL75064961,OCBCSGSG,HSBCGB2L,SGD,28288,UOVBSGSG,UOVBSGSG,CITIUS33,mt,**************0555,CCMGBJ ZBH,**************0385,QCZWK JOC
REF00000737754,2026-07-02T07:38:17.204,202,COV,REL72910190,UOVBSGSG,HSBCGB2L,USD,77276,UOVBSGSG,OCBCSGSG,CITIUS33,mt,**************1361,SICWNG DMG,**************3388,WOQHZ LGQ
REF00000763180,2026-07-10T16:59:56.491,202,COV,REL33476057,DBSSSGSG,MAYBMYKL,SGD,413021,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt,**************3523,WNFSGJ BLR,**************0248,EPYRP KEE
REF00000526477,2026-07-03T04:38:46.455,202,COV,REL93268582,DBSSSGSG,CITIUS33,SGD,133595,OCBCSGSG,CITIUS33,HSBCGB2L,mt,**************5580,BTFERC WKF,**************4500,AVVBU CYZ
REF00000281657,2026-07-02T11:55:18.348,202,COV,REL64617331,DBSSSGSG,CITIUS33,SGD,86681,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt,**************4161,CVROCT VCQ,**************5596,EGBNM XKG
REF00000488023,2026-07-04T23:16:14.946,202,COV,REL70587967,DBSSSGSG,HSBCGB2L,SGD,12787,DBSSSGSG,CITIUS33,CITIUS33,mt,**************1662,VMIRUJ NKV,**************3158,SERCY IIN
REF00000209069,2026-07-12T02:35:54.205,202,COV,REL90166894,UOVBSGSG,HSBCGB2L,SGD,83326,OCBCSGSG,OCBCSGSG,MAYBMYKL,mt,**************9559,MSIQDW MIG,**************4727,JWSMB LOH
