_msg_id,_ts,_mt_type,71A,21,28D,50H_acct,50H_name,30,32B,57A,59_acct,59_name,70,_sender_bic,_receiver_bic,_format
REF00000788762,2026-07-02T09:43:59.604,101,SHA,TXN84830401,1/1,**************6610,YODA CZSBVW,260710,"EGD140,79",MAYBMYKL,**************6869,CDYLH AAZALUTP,INVOICE 89913,OCBCSGSG,HSBCGB2L,mt
REF00000667869,2026-07-01T10:34:46.493,101,BEN,TXN15397431,1/1,**************1955,TOEC FWDAQP,260711,"SYD565,85",HSBCGB2L,**************7090,HCVRO CTVCQSBI,INVOICE 25594,DBSSSGSG,MAYBMYKL,mt
REF00000475646,2026-07-13T16:06:14.651,101,OUR,TXN00201017,1/1,**************9886,RCUJ PLIHUG,260708,"UYD178,85",MAYBMYKL,**************2843,OQVAQ CAKEWPVM,INVOICE 05331,UOVBSGSG,MAYBMYKL,mt
REF00000435612,2026-07-13T23:29:06.355,101,OUR,TXN80859213,1/1,**************0988,FBCS PFCRGE,260712,"MGR898,09",MAYBMYKL,**************2055,ALYDQ EVJOBNIV,INVOICE 90723,UOVBSGSG,CITIUS33,mt
REF00000362699,2026-07-05T15:16:41.730,101,OUR,TXN61111440,1/1,**************9042,ZBFI EJEYOB,260714,"MSD878,92",CITIUS33,**************6329,SMYLP KSOPBZPT,INVOICE 79807,OCBCSGSG,MAYBMYKL,mt
REF00000514161,2026-07-11T14:30:48.352,101,SHA,TXN19123966,1/1,**************1571,FOXY QOJIDY,260702,"SUR541,98",MAYBMYKL,**************9684,FNNYD QDPMVIUG,INVOICE 88965,DBSSSGSG,MAYBMYKL,mt
REF00000076658,2026-07-10T08:32:38.072,101,OUR,TXN07767270,1/1,**************7186,LDWW ZFSIEX,260712,"SYD401,72",HSBCGB2L,**************0593,KZZOX CCMGBJZB,INVOICE 19015,OCBCSGSG,HSBCGB2L,mt
REF00000783230,2026-07-02T11:46:41.466,101,OUR,TXN64961426,1/1,**************5375,HQCZ WKJOCS,260701,"ESR820,67",CITIUS33,**************9151,ICWNG DMGWOQHZ,INVOICE 05551,DBSSSGSG,CITIUS33,mt
REF00000377542,2026-07-03T16:16:05.175,101,OUR,TXN69714976,1/1,**************1763,LGQW NFSGJB,260712,"UGD307,15",CITIUS33,**************7133,LREPY RPKEEBTF,INVOICE 38868,UOVBSGSG,MAYBMYKL,mt
REF00000198335,2026-07-02T17:01:17.898,101,OUR,TXN75543800,1/1,**************8835,ERCW KFAVVB,260713,"SSR333,86",HSBCGB2L,**************0703,UCYZE GBNMXKGV,INVOICE 42174,OCBCSGSG,CITIUS33,mt
