_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,60F_dc,60F_ccy,60F_amount,61,86,61#2,86#2,61#3,86#3,61#4,86#4,62F_dc,62F_ccy,62F_amount
STMT00000362,2026-07-13T08:08:04.232,940,REL40479666,DBSSSGSG,MAYBMYKL,**************9846,264/1,mt,C,MYR,5285.68,"2607020716D786,89NTRFNONREF",/REF/E2E46109248/ FEET,"2607040700C795,83NTRFNONREF",/REF/E2E05755947/ FENT,,,,,C,MYR,9164.29
STMT00000159,2026-07-01T01:31:45.116,940,REL48475646,OCBCSGSG,HSBCGB2L,**************7525,283/1,mt,C,SGD,10336.61,"2607000700D948,31NTRFNONREF",/REF/E2E36205584/ FEET,"2607040713C281,34NTRFNONREF",/REF/E2E05798609/ RENT,,,,,C,EUR,15625.61
STMT00000349,2026-07-02T14:25:00.538,940,REL80859213,DBSSSGSG,CITIUS33,**************2052,252/1,mt,C,EUR,165309.27,"2607150711D936,69NTRFNONREF",/REF/E2E44159881/ FEES,"2607040716C395,57NTRFNONREF",/REF/E2E56671397/ RENS,,,,,C,MYR,5823.09
STMT00000188,2026-07-09T23:51:36.251,940,REL88292345,DBSSSGSG,CITIUS33,**************9682,176/1,mt,C,SGD,82059.39,"2607150717C401,72NTRFNONREF",/REF/E2E75064961/ RENT,"2607060708D474,77NTRFNONREF",/REF/E2E55510619/ FEES,"2607180715D881,71NTRFNONREF",/REF/E2E55552190/ FEET,"2607000716C136,67NTRFNONREF",/REF/E2E47754299/ FEES,C,SGD,21339.54
STMT00000315,2026-07-13T13:16:40.093,940,REL90134338,OCBCSGSG,CITIUS33,**************2488,104/1,mt,C,SGD,12225.58,"2607090709C234,17NTRFNONREF",/REF/E2E54380028/ FEES,"2607110709C450,36NTRFNONREF",/REF/E2E46713274/ FENT,,,,,C,SGD,7109.85
STMT00000243,2026-07-08T00:35:56.278,940,REL57744748,OCBCSGSG,MAYBMYKL,**************1212,126/1,mt,C,EUR,111373.07,"2607170710D917,44NTRFNONREF",/REF/E2E32090692/ FENT,"2607140714C337,22NTRFNONREF",/REF/E2E15705879/ REET,"2607090718D924,20NTRFNONREF",/REF/E2E59684026/ FEES,,,C,SGD,31829.59
STMT00000242,2026-07-06T18:00:36.987,940,REL47275829,OCBCSGSG,CITIUS33,**************7274,344/1,mt,C,SGD,62599.07,"2607180706D415,08NTRFNONREF",/REF/E2E35205736/ RENS,"2607090703D743,08NTRFNONREF",/REF/E2E92985985/ RENT,,,"2607010711C676,56NTRFNONREF",/REF/E2E57292383/ FENT,C,MYR,31973.95
STMT00000356,2026-07-03T21:40:13.669,940,REL43961582,OCBCSGSG,MAYBMYKL,**************4218,153/1,mt,C,USD,163499.52,"2607130700D428,11NTRFNONREF",/REF/E2E30533266/ REET,"2607070717D999,64NTRFNONREF",/REF/E2E42014620/ REES,"2607050718C857,95NTRFNONREF",/REF/E2E52498333/ REES,,,C,EUR,30057.0
STMT00000178,2026-07-08T03:33:42.962,940,REL13312688,DBSSSGSG,HSBCGB2L,**************6776,139/1,mt,C,SGD,24504.4,"2607070711D686,75NTRFNONREF",/REF/E2E19348266/ FENT,,,"2607070700C890,87NTRFNONREF",/REF/E2E96362512/ RENT,,,C,SGD,35581.49
STMT00000115,2026-07-12T00:12:42.039,940,REL32491453,OCBCSGSG,CITIUS33,**************0714,342/1,mt,C,SGD,8276.64,"2607080714C964,83NTRFNONREF",/REF/E2E30701835/ REES,"2607100706D940,77NTRFNONREF",/REF/E2E90621875/ REES,,,,,C,SGD,252121.27
STMT00000338,2026-07-09T10:23:42.158,940,REL34289402,OCBCSGSG,MAYBMYKL,**************6451,233/1,mt,C,USD,40278.23,"2607150705D579,54NTRFNONREF",/REF/E2E65603958/ RENS,,,"2607060718D415,95NTRFNONREF",/REF/E2E12593788/ FEET,,,C,SGD,38047.27
STMT00000313,2026-07-13T16:56:29.195,940,REL25814594,DBSSSGSG,MAYBMYKL,**************5645,126/1,mt,C,USD,13527.02,"2607080717C218,96NTRFNONREF",/REF/E2E39560190/ FEET,,,,,,,C,SGD,64394.94
STMT00000232,2026-07-04T06:39:08.072,940,REL31699238,UOVBSGSG,MAYBMYKL,**************4137,124/1,mt,C,USD,43900.46,"2607100708D311,02NTRFNONREF",/REF/E2E19550450/ REET,"2607180711D433,74NTRFNONREF",/REF/E2E12930076/ REES,"2607070703D612,90NTRFNONREF",/REF/E2E49706604/ REET,,,C,SGD,5778.68
STMT00000163,2026-07-01T09:09:40.558,940,REL27849784,DBSSSGSG,HSBCGB2L,**************2928,180/1,mt,C,MYR,68236.79,"2607010713C398,23NTRFNONREF",/REF/E2E97907752/ RENT,"2607150712C685,45NTRFNONREF",/REF/E2E03122391/ RENS,"2607150713C617,62NTRFNONREF",/REF/E2E34973974/ FEET,,,C,EUR,183631.95
STMT00000056,2026-07-03T01:36:00.707,940,REL85100879,UOVBSGSG,CITIUS33,**************3774,231/1,mt,C,MYR,6304.45,"2607150718C393,55NTRFNONREF",/REF/E2E69577110/ RENT,,,,,,,C,USD,12439.52
STMT00000349,2026-07-12T15:16:30.254,940,REL60177650,UOVBSGSG,CITIUS33,**************1574,233/1,mt,C,SGD,23466.52,"2607140718C848,68NTRFNONREF",/REF/E2E43909598/ REET,"2607030700D600,51NTRFNONREF",/REF/E2E57925845/ RENS,"2607080704D528,16NTRFNONREF",/REF/E2E95343820/ FEET,,,C,SGD,49234.37
STMT00000304,2026-07-09T07:57:42.239,940,REL48566067,OCBCSGSG,CITIUS33,**************6612,68/1,mt,C,SGD,14567.89,"2607130712D489,18NTRFNONREF",/REF/E2E25041471/ FEES,"2607030703D233,92NTRFNONREF",/REF/E2E92364544/ RENT,,,"2607070700D479,99NTRFNONREF",/REF/E2E65275843/ FENT,C,MYR,8952.48
STMT00000197,2026-07-08T10:35:09.251,940,REL41318395,DBSSSGSG,HSBCGB2L,**************2617,188/1,mt,C,SGD,17852.73,"2607080717C884,83NTRFNONREF",/REF/E2E84248756/ FEES,"2607020706C917,37NTRFNONREF",/REF/E2E34920783/ FEES,"2607040709D651,26NTRFNONREF",/REF/E2E61733438/ FEES,"2607150706D797,41NTRFNONREF",/REF/E2E80612602/ FENT,C,SGD,85364.3
STMT00000316,2026-07-05T18:16:40.435,940,REL74048444,UOVBSGSG,CITIUS33,**************5549,146/1,mt,C,SGD,9816.07,"2607070715C940,36NTRFNONREF",/REF/E2E69689207/ REES,"2607100700C647,13NTRFNONREF",/REF/E2E65859344/ FENS,,,,,C,USD,19855.7
STMT00000030,2026-07-10T10:51:25.077,940,REL67051871,UOVBSGSG,HSBCGB2L,**************2599,238/1,mt,C,USD,14464.21,"2607050714C755,87NTRFNONREF",/REF/E2E66781465/ RENS,"2607000706C586,78NTRFNONREF",/REF/E2E92135200/ FENS,"2607060701C531,06NTRFNONREF",/REF/E2E76541745/ REES,"2607070718D316,26NTRFNONREF",/REF/E2E53048958/ FENS,C,USD,21650.88
STMT00000328,2026-07-03T14:33:51.810,940,REL11769084,DBSSSGSG,HSBCGB2L,**************8363,7/1,mt,C,USD,5764.94,"2607150700D513,45NTRFNONREF",/REF/E2E65773850/ FENS,"2607130700D522,04NTRFNONREF",/REF/E2E59853394/ FENS,,,,,C,SGD,61058.03
STMT00000165,2026-07-04T15:31:54.622,940,REL66312706,OCBCSGSG,HSBCGB2L,**************0832,262/1,mt,C,SGD,6435.26,"2607030705C623,14NTRFNONREF",/REF/E2E74821201/ FENT,,,,,"2607090718C460,99NTRFNONREF",/REF/E2E85680837/ FEES,C,SGD,62904.8
STMT00000143,2026-07-11T02:42:44.941,940,REL23852229,UOVBSGSG,HSBCGB2L,**************0206,157/1,mt,C,MYR,18680.3,"2607040710C226,60NTRFNONREF",/REF/E2E76185626/ FENS,"2607130713C314,54NTRFNONREF",/REF/E2E65604536/ FENT,,,,,C,SGD,12194.31
STMT00000334,2026-07-04T16:18:42.178,940,REL60592620,UOVBSGSG,MAYBMYKL,**************8103,129/1,mt,C,SGD,11632.54,"2607110711D425,55NTRFNONREF",/REF/E2E89551403/ REES,"2607060716D120,26NTRFNONREF",/REF/E2E24835141/ REET,,,"2607070716D285,01NTRFNONREF",/REF/E2E60475512/ RENS,C,EUR,9489.29
STMT00000295,2026-07-09T04:49:57.431,940,REL39333030,DBSSSGSG,HSBCGB2L,**************9105,121/1,mt,C,SGD,64347.92,"2607140716D855,53NTRFNONREF",/REF/E2E39353816/ RENS,"2607110716D118,90NTRFNONREF",/REF/E2E25060467/ FENT,,,,,C,USD,34270.92
STMT00000017,2026-07-04T02:55:56.169,940,REL68269059,OCBCSGSG,CITIUS33,**************3971,271/1,mt,C,MYR,379146.72,"2607110704D645,33NTRFNONREF",/REF/E2E70384683/ RENT,"2607150705C290,05NTRFNONREF",/REF/E2E65274432/ FENT,,,,,C,SGD,7971.14
STMT00000189,2026-07-07T05:33:42.561,940,REL32325028,DBSSSGSG,CITIUS33,**************9432,94/1,mt,C,EUR,49495.0,"2607050700D874,67NTRFNONREF",/REF/E2E82015572/ RENS,"2607040713C647,51NTRFNONREF",/REF/E2E45024063/ REES,,,,,C,SGD,62379.18
STMT00000303,2026-07-04T14:28:47.848,940,REL63621488,OCBCSGSG,MAYBMYKL,**************4149,329/1,mt,C,MYR,17860.07,"2607040703D557,73NTRFNONREF",/REF/E2E29013367/ RENS,"2607110712D863,30NTRFNONREF",/REF/E2E79336355/ REET,,,,,C,EUR,12053.07
STMT00000028,2026-07-03T02:33:49.510,940,REL63293283,DBSSSGSG,HSBCGB2L,**************4538,266/1,mt,C,USD,11783.43,"2607120716D832,85NTRFNONREF",/REF/E2E90606639/ REES,"2607110701C499,27NTRFNONREF",/REF/E2E19203727/ RENT,"2607170718C537,82NTRFNONREF",/REF/E2E44312107/ REES,,,C,SGD,32098.62
STMT00000386,2026-07-05T02:23:54.974,940,REL28361251,OCBCSGSG,HSBCGB2L,**************4272,146/1,mt,C,SGD,73632.16,"2607070716D112,46NTRFNONREF",/REF/E2E18822404/ FENT,"2607170706C501,22NTRFNONREF",/REF/E2E51192285/ FEET,,,"2607010714C178,13NTRFNONREF",/REF/E2E01039441/ REET,C,USD,66639.06
