_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Dbtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.DbtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Cdtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.CdtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.RmtInf.Ustrd
MSG00000788762,2026-07-12T19:32:47.583,pacs.009.001.08,SGD,MSG00000011980,2026-07-13T07:10:04,1,INDA,REF00000151620,e302123b-000b-e425-0f72-221829fb876e,125396,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,QVAQC AKEWPV,**************7251,MFBC SPF,**************4925,INVOICE 52667
MSG00000611955,2026-07-07T11:20:52.328,pacs.009.001.08,SGD,MSG00000487053,2026-07-03T06:04:19,1,INDA,REF00000083690,2640b349-1d81-8494-1cbf-ef1f5ee9835d,41355,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,NYDQD PMVIUG,**************5926,LDWW ZFS,**************8307,INVOICE 79604
MSG00000033849,2026-07-03T09:54:47.677,pacs.009.001.08,USD,MSG00000262217,2026-07-07T08:46:44,1,INDA,REF00000237964,84ae22c6-9172-9e28-d63c-e7b6d5691b4f,33825,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,YRPKE EBTFER,**************1907,CWKF AVV,**************0988,INVOICE 38469
MSG00000500556,2026-07-02T22:29:33.518,pacs.009.001.08,SGD,MSG00000385567,2026-07-13T12:35:13,1,INDA,REF00000421128,12461dca-c89d-4288-c83c-69c1be7f5c90,145838,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,NYDQD PMVIUG,**************8557,CPMJ NVP,**************2571,INVOICE 91239
MSG00000521901,2026-07-12T21:34:35.079,pacs.009.001.08,USD,MSG00000606703,2026-07-02T15:07:48,1,INDA,REF00000682021,5cf59bb6-ef0e-0bf2-ab99-96826aaae823,45310,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,HILEA MBVBGV,**************1863,EKQL NQC,**************3034,INVOICE 51904
MSG00000377542,2026-07-04T21:29:00.014,pacs.009.001.08,SGD,MSG00000497631,2026-07-01T10:22:09,1,INDA,REF00000019013,98f7b20a-5ff4-475c-4e1b-bd12a76bcf10,252353,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,OZCJN KEPVYU,**************0775,HWZA XLS,**************0134,INVOICE 18561
MSG00000132746,2026-07-14T05:00:15.630,pacs.009.001.08,SGD,MSG00000070778,2026-07-05T18:00:20,1,INDA,REF00000500602,bd520664-81eb-9cdb-90a8-16b5a9b85e50,39583,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,RWNHG OIXFLX,**************8002,SNQP YTS,**************5098,INVOICE 65774
MSG00000318110,2026-07-14T19:18:18.799,pacs.009.001.08,USD,MSG00000728763,2026-07-14T15:22:09,1,INDA,REF00000273158,ffeb3c43-f348-2ac9-c6fe-e3e2265a5c86,54263,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,IAFVK TDBBZV,**************6026,INKK JSN,**************1212,INVOICE 09069
MSG00000158308,2026-07-11T13:44:06.976,pacs.009.001.08,EUR,MSG00000411175,2026-07-10T22:24:48,1,INDA,REF00000291605,5cc099a7-6eed-8dc8-a795-d517b6de0c22,100348,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,CHUMW PMYZHW,**************3051,JQKQ QOZ,**************5918,INVOICE 93536
MSG00000454051,2026-07-12T01:47:34.459,pacs.009.001.08,SGD,MSG00000685675,2026-07-10T21:38:25,1,INDA,REF00000478275,290544cd-493f-48df-a52e-e728484c6646,138942,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,KXVTN VAQLGU,**************2475,HRAA LOH,**************6972,INVOICE 57286
