_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,13D,34F,61,86,61#2,86#2,61#3,86#3,61#4,86#4,90D
STMT00000362,2026-07-11T18:19:09.446,942,REL10835924,DBSSSGSG,CITIUS33,**************5069,289/1,mt,2607022020+0800,"SGD0,","2607110704D710,69NTRFNONREF",/REF/E2E52611955/ FENS,,,,,"2607130716D689,93NTRFNONREF",/REF/E2E09005474/ RENT,"1SUR3667,98"
STMT00000306,2026-07-07T08:52:28.900,942,REL55667139,OCBCSGSG,MAYBMYKL,**************9883,215/1,mt,2607182307+0800,"USD0,","2607110719D643,61NTRFNONREF",/REF/E2E20526111/ RENT,"2607160703C949,63NTRFNONREF",/REF/E2E87922432/ RENS,"2607090717C779,79NTRFNONREF",/REF/E2E30886091/ REET,"2607120710D449,07NTRFNONREF",/REF/E2E79845965/ RENS,"9EGR3360,91"
STMT00000344,2026-07-07T14:11:58.859,942,REL56737754,OCBCSGSG,HSBCGB2L,**************5578,361/1,mt,2607102459+0800,"USD0,","2607070718D884,09NTRFNONREF",/REF/E2E06496142/ RENS,"2607070705C917,55NTRFNONREF",/REF/E2E36067033/ REET,"2607170708D155,10NTRFNONREF",/REF/E2E11288965/ REES,"2607170711C591,91NTRFNONREF",/REF/E2E83230296/ FEET,"8SGD7132,77"
STMT00000375,2026-07-07T18:51:48.626,942,REL74474829,DBSSSGSG,MAYBMYKL,**************6526,185/1,mt,2607111921+0800,"SGD0,","2607190719D731,74NTRFNONREF",/REF/E2E07789865/ FEES,"2607110712C497,53NTRFNONREF",/REF/E2E43800282/ FEET,"2607000710C844,76NTRFNONREF",/REF/E2E83729101/ FEES,,,"9EYD4347,05"
STMT00000061,2026-07-11T16:06:26.330,942,REL08088391,DBSSSGSG,CITIUS33,**************6472,284/1,mt,2607041256+0800,"MYR0,","2607010706D230,27NTRFNONREF",/REF/E2E11751057/ REET,"2607160704C643,09NTRFNONREF",/REF/E2E53051902/ RENS,"2607150707C548,12NTRFNONREF",/REF/E2E73318110/ RENT,"2607020716C360,24NTRFNONREF",/REF/E2E36831583/ FENT,"8SSD6789,59"
STMT00000306,2026-07-02T06:44:56.856,942,REL98333455,UOVBSGSG,HSBCGB2L,**************6856,15/1,mt,2607011146+0800,"SGD0,","2607130715D151,34NTRFNONREF",/REF/E2E17453413/ REET,"2607150717C348,73NTRFNONREF",/REF/E2E72867368/ FEES,,,,,"9MUR9275,09"
STMT00000157,2026-07-12T10:15:28.284,942,REL05656483,OCBCSGSG,HSBCGB2L,**************0007,252/1,mt,2607181932+0800,"SGD0,","2607170700C562,05NTRFNONREF",/REF/E2E90963625/ RENT,"2607020706D289,41NTRFNONREF",/REF/E2E44249160/ FEET,"2607070711D686,75NTRFNONREF",/REF/E2E31764218/ REES,,,"5ESR9814,78"
STMT00000082,2026-07-09T14:40:08.803,942,REL68111131,DBSSSGSG,CITIUS33,**************8407,72/1,mt,2607180109+0800,"USD0,","2607180718D414,13NTRFNONREF",/REF/E2E15803509/ FENT,"2607040713D353,81NTRFNONREF",/REF/E2E68376755/ RENS,,,,,"2UYR4419,02"
STMT00000180,2026-07-07T03:56:08.453,942,REL50327432,DBSSSGSG,MAYBMYKL,**************7251,149/1,mt,2607182657+0800,"SGD0,","2607130707D723,28NTRFNONREF",/REF/E2E04526560/ FENT,,,"2607120715D376,07NTRFNONREF",/REF/E2E51264976/ FEET,,,"8SYD6427,48"
STMT00000254,2026-07-07T03:43:36.997,942,REL96138621,UOVBSGSG,HSBCGB2L,**************6631,103/1,mt,2607180429+0800,"SGD0,","2607100716C756,59NTRFNONREF",/REF/E2E41738731/ FEES,,,"2607010718C333,46NTRFNONREF",/REF/E2E98944952/ FENT,,,"4SYD2902,93"
STMT00000250,2026-07-11T03:01:41.169,942,REL44057558,OCBCSGSG,MAYBMYKL,**************3597,356/1,mt,2607042930+0800,"SGD0,","2607020719D888,68NTRFNONREF",/REF/E2E53229812/ REES,"2607090707D194,12NTRFNONREF",/REF/E2E26811113/ RENS,"2607060705D951,71NTRFNONREF",/REF/E2E93781641/ FENT,,,"7UGD3251,50"
STMT00000217,2026-07-10T05:48:24.852,942,REL13607260,OCBCSGSG,HSBCGB2L,**************4886,219/1,mt,2607001044+0800,"MYR0,","2607100713C684,03NTRFNONREF",/REF/E2E14742871/ REES,"2607150712C574,71NTRFNONREF",/REF/E2E44369577/ FENT,"2607100700C145,87NTRFNONREF",/REF/E2E63914912/ RENT,"2607110713D696,63NTRFNONREF",/REF/E2E61291512/ FENT,"2EGR7496,45"
STMT00000289,2026-07-03T16:05:13.201,942,REL78351311,UOVBSGSG,MAYBMYKL,**************6004,177/1,mt,2607182751+0800,"MYR0,","2607130716C467,05NTRFNONREF",/REF/E2E94783680/ REET,"2607120717D117,11NTRFNONREF",/REF/E2E17481302/ FEET,"2607170718D760,79NTRFNONREF",/REF/E2E91953438/ FEES,,,"1MSR6792,84"
STMT00000350,2026-07-04T05:47:20.310,942,REL59971617,UOVBSGSG,MAYBMYKL,**************0674,14/1,mt,2607182438+0800,"EUR0,","2607120714C437,09NTRFNONREF",/REF/E2E68094442/ FEET,"2607070712D141,71NTRFNONREF",/REF/E2E42429455/ FENT,"2607020709D741,18NTRFNONREF",/REF/E2E39610437/ FENT,,,"3EUR6275,32"
STMT00000123,2026-07-11T15:01:02.540,942,REL99538557,OCBCSGSG,MAYBMYKL,**************7831,353/1,mt,2607022810+0800,"USD0,","2607140715D898,67NTRFNONREF",/REF/E2E57061260/ REET,,,"2607180701D468,24NTRFNONREF",/REF/E2E50409177/ REET,,,"5UUR7001,58"
STMT00000274,2026-07-04T14:40:01.807,942,REL36851013,OCBCSGSG,HSBCGB2L,**************2894,253/1,mt,2607161133+0800,"USD0,","2607110710C625,42NTRFNONREF",/REF/E2E38346510/ REES,"2607170717C367,94NTRFNONREF",/REF/E2E69689207/ REES,,,,,"4SSD4705,40"
STMT00000101,2026-07-05T05:23:36.668,942,REL20030249,UOVBSGSG,MAYBMYKL,**************2586,234/1,mt,2607170508+0800,"USD0,","2607060718D412,13NTRFNONREF",/REF/E2E66681103/ FENS,"2607140715C361,14NTRFNONREF",/REF/E2E63721487/ REET,,,,,"7EUR8785,79"
STMT00000046,2026-07-09T23:15:25.507,942,REL37866631,OCBCSGSG,CITIUS33,**************8044,74/1,mt,2607040625+0800,"SGD0,","2607080708C371,76NTRFNONREF",/REF/E2E31700294/ REET,"2607140700C745,29NTRFNONREF",/REF/E2E89746139/ RENS,"2607150701C834,65NTRFNONREF",/REF/E2E88904075/ RENT,,,"3EUR3200,55"
STMT00000223,2026-07-06T04:30:05.425,942,REL18562666,DBSSSGSG,CITIUS33,**************3425,42/1,mt,2607162746+0800,"SGD0,","2607170702C255,56NTRFNONREF",/REF/E2E60502766/ REES,"2607170700C354,49NTRFNONREF",/REF/E2E14354539/ FENS,"2607060705C306,63NTRFNONREF",/REF/E2E13427550/ FEES,"2607140710D636,96NTRFNONREF",/REF/E2E35024644/ REES,"4MUD8000,25"
STMT00000027,2026-07-12T07:26:00.267,942,REL92832361,UOVBSGSG,HSBCGB2L,**************6328,8/1,mt,2607022728+0800,"EUR0,","2607010718C750,68NTRFNONREF",/REF/E2E04755128/ RENS,"2607160708D947,02NTRFNONREF",/REF/E2E51403794/ FEET,,,"2607110711D425,55NTRFNONREF",/REF/E2E83514199/ REET,"2UUR6641,70"
STMT00000193,2026-07-08T21:59:22.676,942,REL65682690,DBSSSGSG,CITIUS33,**************4675,66/1,mt,2607012356+0800,"SGD0,","2607150701C817,24NTRFNONREF",/REF/E2E58628657/ FEET,"2607080702C543,28NTRFNONREF",/REF/E2E31639353/ FENS,,,,,"5EGD6787,05"
