_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format
REF00000788762,2026-07-08T14:17:11.613,900,REL47966697,UOVBSGSG,CITIUS33,**************5896,USD,360.31,/BNF/WEI LEE,mt
REF00000177151,2026-07-09T08:53:35.808,900,REL84830401,OCBCSGSG,MAYBMYKL,**************6786,SGD,355.29,/BNF/FATIMAH LIM,mt
REF00000069506,2026-07-05T06:16:09.720,900,REL90054749,DBSSSGSG,MAYBMYKL,**************8343,USD,2216.72,/BNF/DANIEL LEE,mt
REF00000743108,2026-07-05T10:24:48.379,900,REL64847564,OCBCSGSG,HSBCGB2L,**************7848,EUR,685.49,/BNF/ELAINE WONG,mt
REF00000071284,2026-07-11T02:16:02.172,900,REL53318123,DBSSSGSG,CITIUS33,**************6075,SGD,126.69,/BNF/GRACE WONG,mt
REF00000525156,2026-07-03T22:01:32.083,900,REL92057986,DBSSSGSG,MAYBMYKL,**************4916,SGD,1840.05,/BNF/RAJESH CHUA,mt
REF00000190723,2026-07-08T19:01:46.209,900,REL17494109,DBSSSGSG,HSBCGB2L,**************9645,USD,189.89,/BNF/HAKIM HASSAN,mt
REF00000221778,2026-07-01T08:39:51.508,900,REL69994340,OCBCSGSG,HSBCGB2L,**************3798,SGD,1841.98,/BNF/AISHA CHUA,mt
REF00000342290,2026-07-02T11:06:32.578,900,REL40579500,OCBCSGSG,HSBCGB2L,**************1416,SGD,545.05,/BNF/ELAINE WONG,mt
REF00000785049,2026-07-04T05:07:30.875,900,REL59684277,UOVBSGSG,HSBCGB2L,**************0784,USD,2372.6,/BNF/ELAINE WONG,mt
REF00000191239,2026-07-09T03:00:22.540,900,REL34540766,DBSSSGSG,MAYBMYKL,**************3728,MYR,4429.93,/BNF/DANIEL SHARMA,mt
REF00000005938,2026-07-06T22:45:55.619,900,REL53136375,DBSSSGSG,CITIUS33,**************7407,SGD,1475.29,/BNF/DANIEL LEE,mt
REF00000034527,2026-07-05T12:03:50.528,900,REL72006756,OCBCSGSG,MAYBMYKL,**************2591,SGD,367.26,/BNF/ARUN LIM,mt
REF00000555106,2026-07-05T16:04:54.328,900,REL85375750,OCBCSGSG,HSBCGB2L,**************6268,SGD,1867.46,/BNF/RAJESH ONG,mt
REF00000022071,2026-07-12T01:26:06.303,900,REL55013615,UOVBSGSG,HSBCGB2L,**************3433,SGD,2902.74,/BNF/WEI NG,mt
