_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format,50K_acct,50K_name,52A
REF00000788762,2026-07-12T02:25:48.202,910,REL58991394,OCBCSGSG,CITIUS33,**************6935,MYR,2997.64,/BNF/HAKIM LEE,mt,**************2510,YODAC ZSBV,OCBCSGSG
REF00000069584,2026-07-05T19:10:45.932,910,REL55947090,DBSSSGSG,MAYBMYKL,**************5069,SGD,1853.82,/BNF/GRACE ONG,mt,**************6786,WCDYL HAAZ,OCBCSGSG
REF00000109248,2026-07-03T21:17:32.314,910,REL23079868,OCBCSGSG,MAYBMYKL,**************4756,SGD,619.43,/BNF/SITI IYER,mt,**************4310,ALUTP TOEC,UOVBSGSG
REF00000083690,2026-07-01T22:23:37.838,910,REL10170188,OCBCSGSG,MAYBMYKL,**************6075,SGD,12184.7,/BNF/ELAINE GOH,mt,**************8123,FWDAQ PHCV,OCBCSGSG
REF00000619205,2026-07-01T07:56:45.036,910,REL08191620,DBSSSGSG,CITIUS33,**************9819,USD,3624.98,/BNF/FATIMAH HASSAN,mt,**************4916,ROCTV CQSB,UOVBSGSG
REF00000592132,2026-07-12T05:30:22.701,910,REL04763295,DBSSSGSG,CITIUS33,**************3846,USD,1904.08,/BNF/DANIEL ONG,mt,**************2622,IRCUJ PLIH,DBSSSGSG
REF00000331343,2026-07-02T11:20:54.125,910,REL85574415,UOVBSGSG,MAYBMYKL,**************5141,SGD,2620.44,/BNF/MARCUS PILLAI,mt,**************5795,UGOQV AQCA,DBSSSGSG
REF00000259684,2026-07-05T23:32:29.927,910,REL92345407,DBSSSGSG,CITIUS33,**************9662,SGD,1867.46,/BNF/AISHA TAN,mt,**************8556,KEWPV MFBC,UOVBSGSG
REF00000287338,2026-07-09T23:40:54.636,910,REL77186374,OCBCSGSG,CITIUS33,**************7510,MYR,917.84,/BNF/RAJESH LEE,mt,**************8055,SPFCR GEAL,DBSSSGSG
REF00000345278,2026-07-02T03:53:16.629,910,REL38405551,OCBCSGSG,CITIUS33,**************5190,SGD,3925.43,/BNF/RAJESH WONG,mt,**************0036,YDQEV JOBN,DBSSSGSG
REF00000757506,2026-07-02T01:14:14.625,910,REL55013615,OCBCSGSG,CITIUS33,**************1539,MYR,2337.98,/BNF/ARUN TAN,mt,**************7377,IVZBF IEJE,OCBCSGSG
REF00000689583,2026-07-10T10:37:30.851,910,REL53671435,DBSSSGSG,MAYBMYKL,**************8561,SGD,1964.41,/BNF/MEI LING ABDULLAH,mt,**************7149,YOBSM YLPK,UOVBSGSG
REF00000402102,2026-07-11T07:27:37.046,910,REL02828020,OCBCSGSG,HSBCGB2L,**************4075,USD,804.95,/BNF/SITI LIM,mt,**************7132,SOPBZ PTFO,UOVBSGSG
REF00000098174,2026-07-06T23:11:03.213,910,REL82952806,OCBCSGSG,CITIUS33,**************8165,USD,1029.61,/BNF/ELAINE GOH,mt,**************0200,XYQOJ IDYF,OCBCSGSG
REF00000508773,2026-07-02T16:47:47.119,910,REL76026022,OCBCSGSG,MAYBMYKL,**************8023,USD,1245.25,/BNF/ELAINE KRISHNAN,mt,**************1733,NNYDQ DPMV,DBSSSGSG
REF00000121242,2026-07-05T05:39:59.971,910,REL21695841,DBSSSGSG,CITIUS33,**************3209,USD,214.83,/BNF/HAKIM TAN,mt,**************9678,IUGLD WWZF,DBSSSGSG
REF00000219835,2026-07-06T15:46:20.748,910,REL53051902,UOVBSGSG,CITIUS33,**************5856,SGD,1016.2,/BNF/KUMAR HASSAN,mt,**************3663,SIEXK ZZOX,OCBCSGSG
REF00000372448,2026-07-05T10:55:59.750,910,REL37864578,OCBCSGSG,CITIUS33,**************3610,USD,2337.69,/BNF/ELAINE IYER,mt,**************6411,CCMGB JZBH,DBSSSGSG
REF00000732171,2026-07-12T16:23:10.962,910,REL75018770,UOVBSGSG,HSBCGB2L,**************9328,EUR,886.19,/BNF/WEI ONG,mt,**************4540,QCZWK JOCS,OCBCSGSG
REF00000295158,2026-07-03T03:44:05.466,910,REL73689510,OCBCSGSG,HSBCGB2L,**************1582,USD,709.51,/BNF/HAKIM IYER,mt,**************8564,ICWNG DMGW,UOVBSGSG
REF00000534131,2026-07-08T07:51:55.516,910,REL26032835,DBSSSGSG,CITIUS33,**************4484,SGD,1837.59,/BNF/ELAINE LIM,mt,**************1522,OQHZL GQWN,DBSSSGSG
REF00000421912,2026-07-10T21:43:07.612,910,REL06095337,OCBCSGSG,HSBCGB2L,**************1659,USD,293.26,/BNF/ARUN TAN,mt,**************1036,FSGJB LREP,OCBCSGSG
REF00000782482,2026-07-01T09:00:42.211,910,REL57165866,OCBCSGSG,CITIUS33,**************8221,SGD,2804.28,/BNF/RAJESH GOH,mt,**************4774,YRPKE EBTF,DBSSSGSG
REF00000735903,2026-07-04T19:25:18.439,910,REL91268111,UOVBSGSG,CITIUS33,**************8693,SGD,1152.67,/BNF/HAKIM SHARMA,mt,**************4832,YODAC ZSBV,UOVBSGSG
REF00000480955,2026-07-10T07:13:30.577,910,REL83734511,DBSSSGSG,CITIUS33,**************1764,SGD,214.14,/BNF/KUMAR CHUA,mt,**************6084,ERCWK FAVV,UOVBSGSG
REF00000015981,2026-07-01T02:40:31.389,910,REL09062187,DBSSSGSG,HSBCGB2L,**************2245,SGD,241.51,/BNF/AISHA LEE,mt,**************7550,BUCYZ EGBN,DBSSSGSG
REF00000503070,2026-07-01T17:04:09.500,910,REL68631509,OCBCSGSG,MAYBMYKL,**************5524,USD,838.96,/BNF/AISHA LIM,mt,**************8672,MXKGV MIRU,DBSSSGSG
REF00000762342,2026-07-09T19:48:05.084,910,REL25937880,UOVBSGSG,HSBCGB2L,**************8150,SGD,393.02,/BNF/HAKIM LIM,mt,**************9054,JNKVS ERCY,DBSSSGSG
REF00000076091,2026-07-10T20:16:26.641,910,REL64696136,UOVBSGSG,CITIUS33,**************0327,SGD,556.92,/BNF/AISHA PILLAI,mt,**************6560,IINMS IQDW,OCBCSGSG
REF00000433633,2026-07-11T00:34:04.737,910,REL64596173,DBSSSGSG,MAYBMYKL,**************9708,USD,964.68,/BNF/AISHA GOH,mt,**************5282,MIGJW SMBL,OCBCSGSG
REF00000023931,2026-07-01T07:35:48.527,910,REL13122853,OCBCSGSG,HSBCGB2L,**************3945,USD,227.88,/BNF/RAJESH HASSAN,mt,**************3272,OHYPF MJAC,DBSSSGSG
REF00000760961,2026-07-02T04:02:17.399,910,REL86264193,UOVBSGSG,CITIUS33,**************4528,EUR,785.76,/BNF/ELAINE GOH,mt,**************9005,PMJNV PFMU,DBSSSGSG
REF00000290328,2026-07-01T04:30:10.481,910,REL00768696,UOVBSGSG,MAYBMYKL,**************4094,USD,2945.98,/BNF/SITI SHARMA,mt,**************9647,PFJSL UTLG,DBSSSGSG
REF00000504509,2026-07-02T02:24:43.120,910,REL25255851,OCBCSGSG,HSBCGB2L,**************8063,SGD,237.73,/BNF/WEI TAN,mt,**************7826,FQSOZ VPVA,OCBCSGSG
REF00000311934,2026-07-12T15:51:22.141,910,REL52050940,OCBCSGSG,HSBCGB2L,**************7435,SGD,274.14,/BNF/MARCUS LEE,mt,**************0575,ZZXOV ZDAL,OCBCSGSG
REF00000639149,2026-07-07T13:35:32.196,910,REL91607687,UOVBSGSG,MAYBMYKL,**************4250,SGD,460.18,/BNF/DANIEL ONG,mt,**************2873,ZPCES KLYY,OCBCSGSG
